Designator,Mid X,Mid Y,Rotation,Layer
D1,25.895561,-103.922966,0.0,bottom
D10,82.89556,-92.422964,0.0,bottom
D11,82.895561,-73.422966,0.0,bottom
D12,101.895561,-111.422965,0.0,bottom
D13,101.89556,-92.422966,0.0,bottom
D14,101.89556,-73.422965,0.0,bottom
D15,101.00083,-149.668083,27.0,bottom
D16,270.080004,-56.458319,338.0,bottom
D17,262.962479,-38.841824,338.0,bottom
D18,254.898453,-69.602538,338.0,bottom
D19,247.780929,-51.986045,338.0,bottom
D2,25.895559,-84.922965,0.0,bottom
D20,240.663403,-34.369551,338.0,bottom
D21,234.92194,-70.878806,338.0,bottom
D22,227.804414,-53.262311,338.0,bottom
D23,220.686889,-35.645818,338.0,bottom
D24,220.040073,-84.764772,338.0,bottom
D25,212.922549,-67.148279,338.0,bottom
D26,205.805024,-49.531785,338.0,bottom
D27,202.423581,-91.882297,338.0,bottom
D28,195.306056,-74.265804,338.0,bottom
D29,188.188531,-56.649313,338.0,bottom
D3,44.89556,-110.422967,0.0,bottom
D30,217.580034,-127.00738,311.0,bottom
D4,44.89556,-91.422964,0.0,bottom
D5,44.89556,-72.422965,0.0,bottom
D6,63.89556,-104.122965,0.0,bottom
D7,63.895559,-85.122965,0.0,bottom
D8,63.89556,-66.122965,0.0,bottom
D9,82.895559,-111.422965,0.0,bottom
MCU1,149.895506,-90.774496,281.0,top
S1,25.274059,-96.629914,0.0,top
S10,82.27406,-85.129915,0.0,top
S11,82.27406,-66.129915,0.0,top
S12,101.27406,-104.129914,0.0,top
S13,101.27406,-85.129915,0.0,top
S14,101.27406,-66.129916,0.0,top
S15,103.75804336064469,-142.88777139412173,333.0,top
S16,266.77173265817055,-49.929137434700216,22.0,top
S17,259.65420865817055,-32.31264543470021,22.0,top
S18,251.59018265817053,-63.07335843470021,22.0,top
S19,244.47265965817053,-45.45686543470021,22.0,top
S2,25.27406,-77.629915,0.0,top
S20,237.35513265817053,-27.84037143470021,22.0,top
S21,231.61366965817052,-64.34962443470022,22.0,top
S22,224.49614265817053,-46.73313243470022,22.0,top
S23,217.37861865817052,-29.11663943470021,22.0,top
S24,216.73180265817052,-78.23559243470021,22.0,top
S25,209.61427965817052,-60.619100434700215,22.0,top
S26,202.49675265817052,-43.002605434700214,22.0,top
S27,199.11530965817053,-85.35311743470021,22.0,top
S28,191.99778565817053,-67.7366254347002,22.0,top
S29,184.88026065817053,-50.120130434700215,22.0,top
S3,44.274059,-103.129914,0.0,top
S30,211.6681565105526,-122.69175984768178,49.0,top
S4,44.27406,-84.129914,0.0,top
S5,44.274061,-65.129916,0.0,top
S6,63.27406,-96.829915,0.0,top
S7,63.274059,-77.829915,0.0,top
S8,63.27406,-58.829914,0.0,top
S9,82.27406,-104.129916,0.0,top
